"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-07-05",122570,209,11010,5653,590,38764,248745,32872797,633339,1064,2080,0,2890895,45612,902558,56,36356705,681879
"2020-07-04",122361,306,10977,5633,871,38146,248155,32239458,577481,1063,1982,0,2845283,54338,894325,56,35674826,629104
"2020-07-03",122055,598,10936,5597,1435,37798,247284,31661977,654043,1059,2049,0,2790945,53948,883561,56,35045722,701332
"2020-07-02",121457,695,10843,5626,2003,37500,245849,31007934,608354,1041,2105,0,2736997,54085,875127,56,34344390,668262
"2020-07-01",120762,701,10752,5512,1438,36405,243846,30399580,589398,1027,2098,0,2682912,50981,823151,56,33676128,635080
"2020-06-30",120061,596,10669,5424,1582,35248,242408,29810182,580152,1008,2044,0,2631931,47864,813788,56,33041048,641047
"2020-06-29",119465,332,10542,5380,670,33585,240826,29230030,615988,990,2011,0,2584067,39813,798360,56,32400001,663827
"2020-06-28",119133,271,10473,5252,580,32488,240156,28614042,535806,983,2077,0,2544254,41570,778321,56,31736174,576065
"2020-06-27",118862,511,10415,5314,1057,32482,239576,28078236,555647,977,2159,0,2502684,43164,772465,56,31160109,596602
"2020-06-26",118351,637,10334,5283,1526,31738,238519,27522589,565494,966,2075,0,2459520,44543,763966,56,30563507,708972
"2020-06-25",117714,647,10257,5320,1257,31842,236993,26957095,602693,951,2214,0,2414977,39637,756719,56,29854535,632526
"2020-06-24",117067,724,10173,5293,1310,31102,235736,26354402,485049,934,2248,0,2375340,39075,747565,56,29222009,476354
"2020-06-23",116343,710,10077,5402,1257,30235,234426,25869353,469104,918,2293,0,2336265,33447,738952,56,28745655,624227
"2020-06-22",115633,286,10002,5323,800,28799,233169,25400249,444089,909,2299,0,2302818,27281,731602,56,28121428,472901
"2020-06-21",115347,294,9944,5195,514,28220,232369,24956160,496049,904,2321,0,2275537,27928,713537,56,27648527,529388
"2020-06-20",115053,629,9908,5229,745,27967,231855,24460111,533304,888,2380,0,2247609,32294,708864,56,27119139,550124
"2020-06-19",114424,655,9876,5341,1613,28616,231110,23926807,548107,884,2434,0,2215315,31471,698119,56,26569015,580999
"2020-06-18",113769,705,9736,5464,1040,28415,229497,23378700,491625,869,2520,0,2183844,27746,690692,56,25988016,525752
"2020-06-17",113064,767,9665,5612,1130,28576,228457,22887075,463168,857,2588,0,2156098,24001,680916,56,25462264,505835
"2020-06-16",112297,730,9590,5570,1301,28270,227327,22423907,442650,845,2594,0,2132097,23478,672228,56,24956429,473690
"2020-06-15",111567,381,9516,5703,543,27867,226026,21981257,415390,835,2640,0,2108619,18649,665059,56,24482739,440220
"2020-06-14",111186,356,9466,5749,640,27895,225483,21565867,464154,834,2716,0,2089970,21399,650541,56,24042519,473746
"2020-06-13",110830,694,9430,5883,1105,28450,224843,21101713,471388,830,2726,0,2068571,25376,645331,56,23568773,504395
"2020-06-12",110136,775,9373,6017,1245,29154,223738,20630325,599972,814,2734,0,2043195,23597,636111,56,23064378,593169
"2020-06-11",109361,899,9295,6074,1367,29698,222493,20030353,438062,792,2886,0,2019598,22153,629017,56,22471209,464182
"2020-06-10",108462,887,9225,6249,1484,30864,221126,19592291,408971,780,3020,0,1997445,20894,618125,56,22007027,430152
"2020-06-09",107575,902,9141,6457,1527,31009,219642,19183320,404379,771,3090,0,1976551,17312,609476,56,21576875,436410
"2020-06-08",106673,661,9013,6402,714,30996,218115,18778941,380221,762,3240,0,1959239,17209,603143,56,21140465,409592
"2020-06-07",106012,447,8957,6501,685,31225,217401,18398720,404383,753,3298,0,1942030,18740,590988,56,20730873,415483
"2020-06-06",105565,728,8920,6762,1017,31761,216716,17994337,521778,750,3476,0,1923290,23064,585470,56,20315390,554957
"2020-06-05",104837,826,8863,6920,1440,32280,215699,17472559,484686,740,3523,0,1900226,23394,576327,56,19760433,580642
"2020-06-04",104011,893,8787,7057,-2841,32639,214259,16987873,441895,723,3665,0,1876832,20886,569623,56,19179791,475279
"2020-06-03",103118,993,8688,7227,2255,33070,217100,16545978,448319,717,3749,0,1855946,20390,557366,56,18704512,470848
"2020-06-02",102125,962,8566,7407,1585,33724,214845,16097659,400600,710,3852,0,1835556,20109,541976,56,18233664,429001
"2020-06-01",101163,668,8485,7591,2796,34075,213260,15697059,393669,704,3950,0,1815447,20485,536339,56,17804663,414178
"2020-05-31",100495,652,8445,7626,976,34648,210464,15303390,375191,704,3669,0,1794962,21558,522866,56,17390485,393667
"2020-05-30",99843,932,8305,7956,1424,35524,209488,14928199,402861,698,4004,0,1773404,23682,494569,56,16996818,425363
"2020-05-29",98911,1184,8235,8174,1715,36764,208064,14525338,465104,689,4032,0,1749722,23572,484554,56,16571455,493168
"2020-05-28",97727,1231,8109,8389,1630,37818,206349,14060234,413429,676,4080,0,1726150,22622,478099,56,16078287,438296
"2020-05-27",96496,1321,8015,8547,1713,38038,204719,13646805,290562,666,4222,0,1703528,19447,391508,56,15639991,317530
"2020-05-26",95175,645,7899,8585,17320,37561,203006,13356243,291055,650,4215,0,1684081,16825,384902,56,15322461,314860
"2020-05-25",94530,559,7847,8467,1002,37432,185686,13065188,404718,642,4237,0,1667256,18671,379157,56,15007601,432860
"2020-05-24",93971,680,7801,8485,921,37483,184684,12660470,361940,639,4383,0,1648585,20072,366736,56,14574741,377370
"2020-05-23",93291,1063,7770,8733,1378,38391,183763,12298530,369149,638,4620,0,1628513,21531,361239,56,14197371,406036
"2020-05-22",92228,1341,7689,9049,4046,39822,182385,11929381,385791,633,4716,0,1606982,24433,350135,56,13791335,411331
"2020-05-21",90887,1394,7412,9090,4630,41065,178339,11543590,436275,616,4868,0,1582549,26688,298418,56,13380004,479406
"2020-05-20",89493,1399,7319,9521,1996,41546,173709,11107315,387243,613,4911,0,1555861,21308,294312,56,12900598,414235
"2020-05-19",88094,1326,7217,9598,1597,41661,171713,10720072,381974,606,5032,0,1534553,20897,289484,56,12486363,406157
"2020-05-18",86768,848,7064,9754,1157,41553,170116,10338098,335177,602,5257,0,1513656,21028,283178,56,12080206,374544
"2020-05-17",85920,849,7003,9934,1199,41606,168959,10002921,351570,593,5467,0,1492628,20009,272265,56,11705662,367026
"2020-05-16",85071,987,6945,10278,1856,43211,167760,9651351,338158,592,5529,0,1472619,24702,268376,56,11338636,362769
"2020-05-15",84084,1507,6890,10484,1353,44299,165904,9313193,334713,589,5746,0,1447917,24685,250747,56,10975867,376150
